"param","class","ECO_NAME","value","cv"
"criticalThresholdDormancyInduction","parDormancy","East European forest steppe",33.8112190431828,NA
"criticalThresholdDormancyInduction","parDormancy","English Lowlands beech forests",31.7056500880452,11.2915607182164
"criticalThresholdDormancyInduction","parDormancy","European Atlantic mixed forests",32.3948293336717,10.5616139545726
"criticalThresholdDormancyInduction","parDormancy","Italian sclerophyllous and semi-deciduous forests",28.7913748082097,10.3595933348401
"criticalThresholdDormancyInduction","parDormancy","Northeast Spain and Southern France Mediterranean forests",33.7741679298829,11.692618264885
"criticalThresholdDormancyInduction","parDormancy","Northwest Iberian montane forests",32.2993221996989,10.650412969064
"criticalThresholdDormancyInduction","parDormancy","Pannonian mixed forests",29.6692889073654,10.483421973093
"criticalThresholdDormancyInduction","parDormancy","Po Basin mixed forests",32.9736041890139,NA
"criticalThresholdDormancyInduction","parDormancy","Pyrenees conifer and mixed forests",32.9020655485794,10.1760197273507
"criticalThresholdDormancyInduction","parDormancy","Rodope montane mixed forests",22.1794812032364,8.94198639237942
"criticalThresholdDormancyInduction","parDormancy","Sarmatic mixed forests",32.2254645948808,12.1915897159382
"criticalThresholdDormancyInduction","parDormancy","South Apennine mixed montane forests",30.0803406436975,10.5974184715987
"criticalThresholdDormancyInduction","parDormancy","Tyrrhenian-Adriatic sclerophyllous and mixed forests",45.4072073741044,7.05003076919513
"criticalThresholdDormancyInduction","parDormancy","Western European broadleaf forests",31.3614539257597,10.8380419686509
"criticalThresholdEcodormancyCompletion","parEcodormancy","Alps conifer and mixed forests",10.4643155597777,2.55069786452437
"criticalThresholdEcodormancyCompletion","parEcodormancy","Appenine deciduous montane forests",10.4939798396927,2.57210389948908
"criticalThresholdEcodormancyCompletion","parEcodormancy","Balkan mixed forests",10.1346776509743,2.14660001600828
"criticalThresholdEcodormancyCompletion","parEcodormancy","Baltic mixed forests",10.7885950176974,2.43055664301027
"criticalThresholdEcodormancyCompletion","parEcodormancy","Cantabrian mixed forests",11.9805394328297,2.34437759348689
"criticalThresholdEcodormancyCompletion","parEcodormancy","Carpathian montane forests",9.98043727127697,2.50332863093835
"criticalThresholdEcodormancyCompletion","parEcodormancy","Celtic broadleaf forests",14.2706117664114,NA
"criticalThresholdEcodormancyCompletion","parEcodormancy","Central European mixed forests",9.79053341043885,2.76919597346775
"criticalThresholdEcodormancyCompletion","parEcodormancy","Corsican montane broadleaf and mixed forests",8.96440010528857,3.12264413844672
"criticalThresholdEcodormancyCompletion","parEcodormancy","Dinaric Mountains mixed forests",8.44194057202219,2.9552173256881
"criticalThresholdEcodormancyCompletion","parEcodormancy","East European forest steppe",10.6380298650742,NA
"criticalThresholdEcodormancyCompletion","parEcodormancy","English Lowlands beech forests",11.0141677013213,2.77824103200855
"criticalThresholdEcodormancyCompletion","parEcodormancy","European Atlantic mixed forests",11.3184414184048,2.62029470397457
"criticalThresholdEcodormancyCompletion","parEcodormancy","Italian sclerophyllous and semi-deciduous forests",12.0096699931573,2.15183651482148
"criticalThresholdEcodormancyCompletion","parEcodormancy","Northeast Spain and Southern France Mediterranean forests",12.2572353023045,2.32559305045989
"criticalThresholdEcodormancyCompletion","parEcodormancy","Northwest Iberian montane forests",11.454292675436,2.64702503443643
"criticalThresholdEcodormancyCompletion","parEcodormancy","Pannonian mixed forests",10.2767549773786,2.45335115041769
"criticalThresholdEcodormancyCompletion","parEcodormancy","Po Basin mixed forests",9.47096090466858,NA
"criticalThresholdEcodormancyCompletion","parEcodormancy","Pyrenees conifer and mixed forests",11.4469996073569,2.31844964322213
"criticalThresholdEcodormancyCompletion","parEcodormancy","Rodope montane mixed forests",10.4478276430736,2.31913307382923
"criticalThresholdEcodormancyCompletion","parEcodormancy","Sarmatic mixed forests",12.7626108799348,1.3938572648402
"criticalThresholdEcodormancyCompletion","parEcodormancy","South Apennine mixed montane forests",10.2273414881545,3.16328950606917
"criticalThresholdEcodormancyCompletion","parEcodormancy","Tyrrhenian-Adriatic sclerophyllous and mixed forests",13.3945757719818,2.24042956671676
"criticalThresholdEcodormancyCompletion","parEcodormancy","Western European broadleaf forests",10.8769614439143,2.48709348616812
"criticalThresholdEndodormancyCompletion","parEndodormancy","Alps conifer and mixed forests",107.57638998906,18.7905903545477
"criticalThresholdEndodormancyCompletion","parEndodormancy","Appenine deciduous montane forests",103.053296264654,19.5724767991183
"criticalThresholdEndodormancyCompletion","parEndodormancy","Balkan mixed forests",99.4673071561039,15.6133824246648
"criticalThresholdEndodormancyCompletion","parEndodormancy","Baltic mixed forests",105.179514429104,20.2601600129409
"criticalThresholdEndodormancyCompletion","parEndodormancy","Cantabrian mixed forests",112.763640360312,19.1203775773748
"criticalThresholdEndodormancyCompletion","parEndodormancy","Carpathian montane forests",104.660654678835,19.5549883641227
"criticalThresholdEndodormancyCompletion","parEndodormancy","Celtic broadleaf forests",78.8115350134491,NA
"criticalThresholdEndodormancyCompletion","parEndodormancy","Central European mixed forests",103.029822572605,18.6823931358252
"criticalThresholdEndodormancyCompletion","parEndodormancy","Corsican montane broadleaf and mixed forests",117.086218350942,16.8835963673259
"criticalThresholdEndodormancyCompletion","parEndodormancy","Dinaric Mountains mixed forests",114.73145392584,9.81472787289953
"criticalThresholdEndodormancyCompletion","parEndodormancy","East European forest steppe",85.5591189142715,NA
"criticalThresholdEndodormancyCompletion","parEndodormancy","English Lowlands beech forests",112.59047236552,19.371310596213
"criticalThresholdEndodormancyCompletion","parEndodormancy","European Atlantic mixed forests",110.229867430846,18.8173621681268
"criticalThresholdEndodormancyCompletion","parEndodormancy","Italian sclerophyllous and semi-deciduous forests",111.161891123797,15.2512264910588
"criticalThresholdEndodormancyCompletion","parEndodormancy","Northeast Spain and Southern France Mediterranean forests",114.883340269827,19.1532909729439
"criticalThresholdEndodormancyCompletion","parEndodormancy","Northwest Iberian montane forests",107.911001028944,17.9813999530225
"criticalThresholdEndodormancyCompletion","parEndodormancy","Pannonian mixed forests",106.822875915302,19.2419136192735
"criticalThresholdEndodormancyCompletion","parEndodormancy","Po Basin mixed forests",108.162210536143,NA
"criticalThresholdEndodormancyCompletion","parEndodormancy","Pyrenees conifer and mixed forests",111.404333804876,17.9282899166559
"criticalThresholdEndodormancyCompletion","parEndodormancy","Rodope montane mixed forests",114.372752780023,17.0222508871282
"criticalThresholdEndodormancyCompletion","parEndodormancy","Sarmatic mixed forests",116.981145541346,13.364745244961
"criticalThresholdEndodormancyCompletion","parEndodormancy","South Apennine mixed montane forests",105.901011261564,21.0914849320099
"criticalThresholdEndodormancyCompletion","parEndodormancy","Tyrrhenian-Adriatic sclerophyllous and mixed forests",101.690390201244,19.1009991075671
"criticalThresholdEndodormancyCompletion","parEndodormancy","Western European broadleaf forests",107.194643136659,19.0195558860129
"criticalThresholdGreendown","parGreendown","Alps conifer and mixed forests",76.595161751277,14.2727200197322
"criticalThresholdGreendown","parGreendown","Appenine deciduous montane forests",78.7272384620187,13.4428621609779
"criticalThresholdGreendown","parGreendown","Balkan mixed forests",81.2928548746354,5.36426913733231
"criticalThresholdGreendown","parGreendown","Baltic mixed forests",81.7690726765564,12.271677003536
"criticalThresholdGreendown","parGreendown","Cantabrian mixed forests",82.0890220915976,15.7766062401221
"criticalThresholdGreendown","parGreendown","Carpathian montane forests",72.7226506044076,10.9044086212166
"criticalThresholdGreendown","parGreendown","Celtic broadleaf forests",116.380976063985,NA
"criticalThresholdGreendown","parGreendown","Central European mixed forests",77.8084454539521,10.9841543980583
"criticalThresholdGreendown","parGreendown","Corsican montane broadleaf and mixed forests",82.6787061840182,20.6423489725995
"criticalThresholdGreendown","parGreendown","Dinaric Mountains mixed forests",76.4016113704463,22.9415107368185
"criticalThresholdGreendown","parGreendown","East European forest steppe",75.954632110785,NA
"criticalThresholdGreendown","parGreendown","English Lowlands beech forests",91.3482273717896,13.1734048512345
"criticalThresholdGreendown","parGreendown","European Atlantic mixed forests",87.9992346851305,14.2624256003033
"criticalThresholdGreendown","parGreendown","Italian sclerophyllous and semi-deciduous forests",85.640619950009,14.7600252042728
"criticalThresholdGreendown","parGreendown","Northeast Spain and Southern France Mediterranean forests",87.4714054175371,17.5885282299377
"criticalThresholdGreendown","parGreendown","Northwest Iberian montane forests",77.4178775874981,14.4145475433942
"criticalThresholdGreendown","parGreendown","Pannonian mixed forests",78.5533411509171,10.648713895115
"criticalThresholdGreendown","parGreendown","Po Basin mixed forests",82.0060783784764,NA
"criticalThresholdGreendown","parGreendown","Pyrenees conifer and mixed forests",79.5224918454561,17.1116106275591
"criticalThresholdGreendown","parGreendown","Rodope montane mixed forests",81.0683068144513,9.94013541082603
"criticalThresholdGreendown","parGreendown","Sarmatic mixed forests",74.9102767828124,11.2519443336869
"criticalThresholdGreendown","parGreendown","South Apennine mixed montane forests",93.2805204514589,19.4339075379478
"criticalThresholdGreendown","parGreendown","Tyrrhenian-Adriatic sclerophyllous and mixed forests",80.3463093576898,16.142663242274
"criticalThresholdGreendown","parGreendown","Western European broadleaf forests",79.7519449011794,13.8481214511419
"criticalThresholdGrowth","parGrowth","Alps conifer and mixed forests",50.2694559423416,7.75144020101045
"criticalThresholdGrowth","parGrowth","Appenine deciduous montane forests",51.2614917475614,7.81604540467443
"criticalThresholdGrowth","parGrowth","Balkan mixed forests",51.1987880419867,6.94139121215489
"criticalThresholdGrowth","parGrowth","Baltic mixed forests",49.9233026033489,8.46876169872406
"criticalThresholdGrowth","parGrowth","Cantabrian mixed forests",52.2520700841823,8.11181968841887
"criticalThresholdGrowth","parGrowth","Carpathian montane forests",48.7357981919289,7.94981053425095
"criticalThresholdGrowth","parGrowth","Celtic broadleaf forests",45.6947750304318,NA
"criticalThresholdGrowth","parGrowth","Central European mixed forests",50.1057526033997,8.77454488832566
"criticalThresholdGrowth","parGrowth","Corsican montane broadleaf and mixed forests",55.0571750911258,6.10261935994701
"criticalThresholdGrowth","parGrowth","Dinaric Mountains mixed forests",50.8794918949175,4.56678767849127
"criticalThresholdGrowth","parGrowth","East European forest steppe",51.6383429425581,NA
"criticalThresholdGrowth","parGrowth","English Lowlands beech forests",51.6643082725638,8.81904857727837
"criticalThresholdGrowth","parGrowth","European Atlantic mixed forests",52.6964398337154,7.76679432617852
"criticalThresholdGrowth","parGrowth","Italian sclerophyllous and semi-deciduous forests",51.6963882179053,8.47165712345537
"criticalThresholdGrowth","parGrowth","Northeast Spain and Southern France Mediterranean forests",53.989514980357,8.04760695518405
"criticalThresholdGrowth","parGrowth","Northwest Iberian montane forests",50.4945316110149,8.71576883806959
"criticalThresholdGrowth","parGrowth","Pannonian mixed forests",49.0116113275951,8.33650541195093
"criticalThresholdGrowth","parGrowth","Po Basin mixed forests",47.1531762321329,NA
"criticalThresholdGrowth","parGrowth","Pyrenees conifer and mixed forests",51.5478694013945,8.40455526724237
"criticalThresholdGrowth","parGrowth","Rodope montane mixed forests",44.9648978998401,5.39780518136758
"criticalThresholdGrowth","parGrowth","Sarmatic mixed forests",51.7442645309659,8.15719289927795
"criticalThresholdGrowth","parGrowth","South Apennine mixed montane forests",55.3191484310869,9.00232502596598
"criticalThresholdGrowth","parGrowth","Tyrrhenian-Adriatic sclerophyllous and mixed forests",54.7727180397752,8.99755358697696
"criticalThresholdGrowth","parGrowth","Western European broadleaf forests",51.0936456112573,8.27377394153317
"minimumVI","parVegetationIndex","Alps conifer and mixed forests",0.126722987170307,0.0237530312582814
"minimumVI","parVegetationIndex","Appenine deciduous montane forests",0.121102998009952,0.0252491216458777
"minimumVI","parVegetationIndex","Balkan mixed forests",0.0945103048689425,0.0389465040212576
"minimumVI","parVegetationIndex","Baltic mixed forests",0.129133145396029,0.02432526411728
"minimumVI","parVegetationIndex","Cantabrian mixed forests",0.117849061971096,0.0322451493634031
"minimumVI","parVegetationIndex","Carpathian montane forests",0.128306419520623,0.023955926717377
"minimumVI","parVegetationIndex","Celtic broadleaf forests",0.149684896450653,NA
"minimumVI","parVegetationIndex","Central European mixed forests",0.114823963342665,0.0332470305789272
"minimumVI","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.137642271958163,0.0183365791626506
"minimumVI","parVegetationIndex","Dinaric Mountains mixed forests",0.0933686431165795,0.0529565378545962
"minimumVI","parVegetationIndex","East European forest steppe",0.141119418566045,NA
"minimumVI","parVegetationIndex","English Lowlands beech forests",0.121721901573307,0.0319681843707637
"minimumVI","parVegetationIndex","European Atlantic mixed forests",0.121122361479421,0.031113025245511
"minimumVI","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.125377058375866,0.0295174837119852
"minimumVI","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",0.104140216720132,0.0374088917514701
"minimumVI","parVegetationIndex","Northwest Iberian montane forests",0.12687484692487,0.0251694365560017
"minimumVI","parVegetationIndex","Pannonian mixed forests",0.12244925537023,0.0247765102891061
"minimumVI","parVegetationIndex","Po Basin mixed forests",0.146546053558819,NA
"minimumVI","parVegetationIndex","Pyrenees conifer and mixed forests",0.125253947364522,0.0274626813812136
"minimumVI","parVegetationIndex","Rodope montane mixed forests",0.128001656387167,0.0263885212830209
"minimumVI","parVegetationIndex","Sarmatic mixed forests",0.135016688262885,0.0227580201572424
"minimumVI","parVegetationIndex","South Apennine mixed montane forests",0.129719304681765,0.0274429771746492
"minimumVI","parVegetationIndex","Tyrrhenian-Adriatic sclerophyllous and mixed forests",0.139609704284215,0.0155214982097947
"minimumVI","parVegetationIndex","Western European broadleaf forests",0.127138203575288,0.0258724391111878
"nVISenescence","parVegetationIndex","Alps conifer and mixed forests",0.485359879567274,0.187268009892294
"nVISenescence","parVegetationIndex","Appenine deciduous montane forests",0.459801136257426,0.143338853174609
"nVISenescence","parVegetationIndex","Balkan mixed forests",0.566541975445419,0.0966863479792202
"nVISenescence","parVegetationIndex","Baltic mixed forests",0.416425933481311,0.149214858064415
"nVISenescence","parVegetationIndex","Cantabrian mixed forests",0.366446322021486,0.164592884325802
"nVISenescence","parVegetationIndex","Carpathian montane forests",0.470862632804523,0.167905563951356
"nVISenescence","parVegetationIndex","Celtic broadleaf forests",0.158085307312589,NA
"nVISenescence","parVegetationIndex","Central European mixed forests",0.560397733381498,0.177701982829677
"nVISenescence","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.311566131302944,0.099324815673727
"nVISenescence","parVegetationIndex","Dinaric Mountains mixed forests",0.753927397877405,0.74229197243907
"nVISenescence","parVegetationIndex","East European forest steppe",0.840844246623415,NA
"nVISenescence","parVegetationIndex","English Lowlands beech forests",0.220390429527361,0.0855530441029217
"nVISenescence","parVegetationIndex","European Atlantic mixed forests",0.296964361483403,0.120001696272907
"nVISenescence","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.418327168055844,0.148591597897542
"nVISenescence","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",0.295810383050283,0.136877050832185
"nVISenescence","parVegetationIndex","Northwest Iberian montane forests",0.375688796849679,0.264347806481039
"nVISenescence","parVegetationIndex","Pannonian mixed forests",0.503159773938258,0.124159211335456
"nVISenescence","parVegetationIndex","Po Basin mixed forests",0.586506708091707,NA
"nVISenescence","parVegetationIndex","Pyrenees conifer and mixed forests",0.391139741083361,0.279989968077063
"nVISenescence","parVegetationIndex","Rodope montane mixed forests",0.507431268242572,0.138839935885089
"nVISenescence","parVegetationIndex","Sarmatic mixed forests",0.343343470141846,0.119887843046333
"nVISenescence","parVegetationIndex","South Apennine mixed montane forests",0.350705939939685,0.153348483177613
"nVISenescence","parVegetationIndex","Tyrrhenian-Adriatic sclerophyllous and mixed forests",0.359689337510897,0.0956240913613209
"nVISenescence","parVegetationIndex","Western European broadleaf forests",0.341342368221595,0.141052062554959
"nVIEcodormancy","parVegetationIndex","Alps conifer and mixed forests",1.43234683598259,1.07367134340001
"nVIEcodormancy","parVegetationIndex","Appenine deciduous montane forests",1.0028692655722,0.949488420726313
"nVIEcodormancy","parVegetationIndex","Balkan mixed forests",1.24759103268954,0.858563492376341
"nVIEcodormancy","parVegetationIndex","Baltic mixed forests",1.1909215850947,1.12928139086793
"nVIEcodormancy","parVegetationIndex","Cantabrian mixed forests",1.44045542585996,1.30220817718459
"nVIEcodormancy","parVegetationIndex","Carpathian montane forests",1.88213259352549,1.12912059206735
"nVIEcodormancy","parVegetationIndex","Celtic broadleaf forests",0.229854200888699,NA
"nVIEcodormancy","parVegetationIndex","Central European mixed forests",1.2799029802362,1.05303346894374
"nVIEcodormancy","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.830049968916342,0.902254244769935
"nVIEcodormancy","parVegetationIndex","Dinaric Mountains mixed forests",1.66901519753152,1.22803012098133
"nVIEcodormancy","parVegetationIndex","East European forest steppe",0.499802060151535,NA
"nVIEcodormancy","parVegetationIndex","English Lowlands beech forests",1.35145988574391,1.28176272301183
"nVIEcodormancy","parVegetationIndex","European Atlantic mixed forests",1.13366758138813,1.25875223401558
"nVIEcodormancy","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.859046421171456,0.970273802316326
"nVIEcodormancy","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",1.37949830073828,1.48409225896854
"nVIEcodormancy","parVegetationIndex","Northwest Iberian montane forests",1.73586908698029,1.38068047892751
"nVIEcodormancy","parVegetationIndex","Pannonian mixed forests",1.72469625941979,1.17235393819382
"nVIEcodormancy","parVegetationIndex","Po Basin mixed forests",1.90716736695296,NA
"nVIEcodormancy","parVegetationIndex","Pyrenees conifer and mixed forests",1.2104244036348,1.23743099479445
"nVIEcodormancy","parVegetationIndex","Rodope montane mixed forests",2.1163510101144,1.00634892988086
"nVIEcodormancy","parVegetationIndex","Sarmatic mixed forests",0.604842181423502,0.514359864191285
"nVIEcodormancy","parVegetationIndex","South Apennine mixed montane forests",0.817820954518481,1.35301074878747
"nVIEcodormancy","parVegetationIndex","Tyrrhenian-Adriatic sclerophyllous and mixed forests",0.601900710670548,0.792424027192132
"nVIEcodormancy","parVegetationIndex","Western European broadleaf forests",1.11146339601357,1.17548765634566
"nVIEndodormancy","parVegetationIndex","Alps conifer and mixed forests",0.339343653606189,0.244269522687831
"nVIEndodormancy","parVegetationIndex","Appenine deciduous montane forests",0.321606219780323,0.236273734671308
"nVIEndodormancy","parVegetationIndex","Balkan mixed forests",0.186983752477888,0.192622890183475
"nVIEndodormancy","parVegetationIndex","Baltic mixed forests",0.26866399225469,0.247538539047117
"nVIEndodormancy","parVegetationIndex","Cantabrian mixed forests",0.348621027460311,0.246945312375294
"nVIEndodormancy","parVegetationIndex","Carpathian montane forests",0.220390866010501,0.213925605545173
"nVIEndodormancy","parVegetationIndex","Celtic broadleaf forests",0.0394422193240391,NA
"nVIEndodormancy","parVegetationIndex","Central European mixed forests",0.207727780445155,0.182171795802069
"nVIEndodormancy","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.435796946896622,0.290898909570804
"nVIEndodormancy","parVegetationIndex","Dinaric Mountains mixed forests",0.279149286264822,0.0856324634486244
"nVIEndodormancy","parVegetationIndex","East European forest steppe",0.167706516728161,NA
"nVIEndodormancy","parVegetationIndex","English Lowlands beech forests",0.383612532601906,0.266249083208783
"nVIEndodormancy","parVegetationIndex","European Atlantic mixed forests",0.359230842693006,0.260937144521317
"nVIEndodormancy","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.372807078190777,0.259436624893287
"nVIEndodormancy","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",0.316616977000629,0.280051147383689
"nVIEndodormancy","parVegetationIndex","Northwest Iberian montane forests",0.339649605283391,0.270910300032842
"nVIEndodormancy","parVegetationIndex","Pannonian mixed forests",0.191322550871594,0.172093704494325
"nVIEndodormancy","parVegetationIndex","Po Basin mixed forests",0.0795995932283817,NA
"nVIEndodormancy","parVegetationIndex","Pyrenees conifer and mixed forests",0.350461635854407,0.260504012425247
"nVIEndodormancy","parVegetationIndex","Rodope montane mixed forests",0.140860572094172,0.065955034505536
"nVIEndodormancy","parVegetationIndex","Sarmatic mixed forests",0.179231435863153,0.0852018071467485
"nVIEndodormancy","parVegetationIndex","South Apennine mixed montane forests",0.537495474570463,0.303608115548725
"nVIEndodormancy","parVegetationIndex","Tyrrhenian-Adriatic sclerophyllous and mixed forests",0.55235582277207,0.355803304514896
"nVIEndodormancy","parVegetationIndex","Western European broadleaf forests",0.31275492742566,0.245063194693818
"nVIGreendown","parVegetationIndex","Alps conifer and mixed forests",0.0820791892316045,0.0536943334054072
"nVIGreendown","parVegetationIndex","Appenine deciduous montane forests",0.0760281137168645,0.0471883870835989
"nVIGreendown","parVegetationIndex","Balkan mixed forests",0.0790541949787819,0.037523413268053
"nVIGreendown","parVegetationIndex","Baltic mixed forests",0.0750613132224718,0.0441749025851015
"nVIGreendown","parVegetationIndex","Cantabrian mixed forests",0.0710884864293017,0.0475907771853213
"nVIGreendown","parVegetationIndex","Carpathian montane forests",0.087716201892456,0.0446294505297015
"nVIGreendown","parVegetationIndex","Celtic broadleaf forests",0.176926879261896,NA
"nVIGreendown","parVegetationIndex","Central European mixed forests",0.0835909403273902,0.0503199770109989
"nVIGreendown","parVegetationIndex","Corsican montane broadleaf and mixed forests",0.076910590942724,0.0617581412501695
"nVIGreendown","parVegetationIndex","Dinaric Mountains mixed forests",0.119965536451411,0.0718843193380408
"nVIGreendown","parVegetationIndex","East European forest steppe",0.0628302196512315,NA
"nVIGreendown","parVegetationIndex","English Lowlands beech forests",0.050083718105733,0.0320363097811988
"nVIGreendown","parVegetationIndex","European Atlantic mixed forests",0.0614451344594189,0.0410756230862256
"nVIGreendown","parVegetationIndex","Italian sclerophyllous and semi-deciduous forests",0.0875962495947829,0.0478725745744223
"nVIGreendown","parVegetationIndex","Northeast Spain and Southern France Mediterranean forests",0.0523422302297197,0.0454800675071775
"nVIGreendown","parVegetationIndex","Northwest Iberian montane forests",0.0727232605847058,0.0535733693104475
"nVIGreendown","parVegetationIndex","Pannonian mixed forests",0.0784267117087378,0.044532272896461
"nVIGreendown","parVegetationIndex","Po Basin mixed forests",0.0612496373858171,NA
"nVIGreendown","parVegetationIndex","Pyrenees conifer and mixed forests",0.0773252380492481,0.053337663409086
"nVIGreendown","parVegetationIndex","Rodope montane mixed forests",0.087981094004424,0.0254855423198376
"nVIGreendown","parVegetationIndex","Sarmatic mixed forests",0.109311715812372,0.042651823296164
