id,COUNTRY,X,Y,DEM,ECO_NAME,BIOME_NAME,REALM,ECO_BIOME_
73a,Italy,4382500,2536500,1130,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
86a,Italy,4313500,2525500,1062,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
91a,Italy,4105500,2450500,1106,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
95a,Italy,4487500,2546500,949,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
96a,Italy,4449500,2546500,1297,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
100a,Italy,4511500,2567500,798,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
101a,Italy,4103500,2375500,965,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
106a,Italy,4296500,2535500,1138,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
110a,Italy,4457500,2556500,1107,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
115a,Italy,4532500,2588500,870,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
117a,Italy,4113500,2460500,1164,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
127a,Italy,4257500,2545500,921,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
129a,Italy,4126500,2353500,1165,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
131a,Italy,4174500,2353500,1117,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
132a,Italy,4114500,2353500,1280,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
133a,Italy,4107500,2353500,1488,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
137a,Italy,4408500,2502500,1037,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
141a,Italy,4432500,2598500,751,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
142a,Italy,4250500,2534500,801,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
143a,Italy,4119500,2470500,980,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
151a,Italy,4539500,2587500,1279,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
152a,Italy,4112500,2459500,1425,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
160a,Italy,4180500,2544500,943,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
161a,Italy,4091500,2416500,1341,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
163a,Italy,4149500,2352500,1060,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
177a,Italy,4416500,2597500,614,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
191a,Italy,4418500,2522500,1197,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
192a,Italy,4408500,2522500,1568,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
196a,Italy,4111500,2383500,1291,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
199a,Italy,4099500,2383500,1536,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
200a,Italy,4107500,2383500,1219,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
205a,Italy,4157500,2351500,1624,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
207a,Italy,4109500,2351500,1583,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
228a,Italy,4530500,2585500,910,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
229a,Italy,4113500,2457500,1399,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
236a,Italy,4383500,2553500,997,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
239a,Italy,4108500,2446500,799,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
242a,Italy,4102500,2382500,1384,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
245a,Italy,4119500,2350500,1547,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
265a,Italy,4541500,2584500,1277,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
266a,Italy,4337500,2520500,1439,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
272a,Italy,4255500,2552500,841,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
273a,Italy,4466500,2552500,800,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
274a,Italy,4208500,2552500,1174,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
275a,Italy,4421500,2509500,888,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
283a,Italy,4290500,2541500,941,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
284a,Italy,4098500,2413500,1197,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
290a,Italy,4108500,2434500,832,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
291a,Italy,4105500,2434500,1331,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
295a,Italy,4118500,2466500,551,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
308a,Italy,4192500,2519500,893,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
312a,Italy,4161500,2508500,1304,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
314a,Italy,4101500,2380500,992,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
320a,Italy,4294500,2540500,581,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
321a,Italy,4124500,2348500,1447,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
326a,Italy,4150500,2348500,1454,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
327a,Italy,4125500,2348500,1402,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
338a,Italy,4267500,2529500,690,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
349a,Italy,4117500,2390500,959,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
355a,Italy,4381500,2550500,1139,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
358a,Italy,4109500,2443500,969,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
369a,Italy,4186500,2528500,796,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
380a,Italy,4498500,2581500,885,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
381a,Italy,4414500,2517500,975,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
382a,Italy,4418500,2517500,901,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
388a,Italy,4548500,2613500,1159,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
390a,Italy,4109500,2357500,891,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
398a,Italy,4250500,2549000,1217,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
399a,Italy,4510500,2559500,1249,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
406a,Italy,4125500,2473500,992,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
411a,Italy,4509500,2558500,1068,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
412a,Italy,4109500,2366500,1075,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
414a,Italy,4354500,2526500,1560,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
417a,Italy,4111500,2451500,1082,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
420a,Italy,4393500,2547500,1065,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
422a,Italy,4175500,2355500,794,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
426a,Italy,4514500,2568500,502,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
429a,Italy,4466500,2536500,1093,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
430a,Italy,4125500,2472500,1030,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
431a,Italy,4424500,2547000,999,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
432a,Italy,4425000,2547000,981,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
433a,Italy,4112500,2365500,1044,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
445a,Italy,4318500,2546500,1135,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
446a,Italy,4228500,2546500,825,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
447a,Italy,4182500,2546500,444,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
449a,Italy,4122500,2471500,947,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
460a,Italy,4232000,2534500,899,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
461a,Italy,4232500,2534500,905,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
462a,Italy,4113500,2470500,992,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
467a,Italy,4280500,2534000,1063,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
468a,Italy,4250500,2534000,940,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
470a,Italy,4383500,2512500,691,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
474a,Italy,4107500,2373500,1214,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
476a,Italy,4288500,2533500,1047,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
477a,Italy,4423500,2533500,470,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
478a,Italy,4298500,2533500,846,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
481a,Italy,4328500,2533000,1502,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
486a,Italy,4108500,2436500,791,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
488a,Italy,4376500,2532500,1071,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
489a,Italy,4117500,2468500,948,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
492a,Italy,4104500,2425500,884,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
495a,Italy,4412500,2574500,1158,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
503a,Italy,4104500,2425000,873,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
509a,Italy,4100500,2381500,1150,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
510a,Italy,4229500,2541500,506,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
511a,Italy,4096500,2413500,1057,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
519a,Italy,4105500,2391500,1259,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
531a,Italy,4179500,2358500,681,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
534a,Italy,4228500,2539500,895,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
537a,Italy,4264500,2560500,754,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3299a,France,3948500,2431500,1444,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3313a,France,4072500,2591500,770,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3395a,France,3976500,2430500,982,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3466a,France,4017500,2504500,939,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3468a,France,3957500,2440500,953,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3497a,France,4048500,2493500,634,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3498a,France,3940500,2429500,802,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3499a,France,4000500,2429500,847,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3555a,France,4033500,2482500,1005,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3556a,France,4013500,2418500,1145,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3575a,France,4028500,2567500,743,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3577a,France,3969500,2439500,1083,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3603a,France,4059500,2556500,962,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3672a,France,4007500,2417500,1276,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3690a,France,3957500,2438500,930,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3693a,France,3997500,2438500,1535,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3694a,France,3971500,2438500,1040,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3719a,France,3939500,2427500,1007,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3778a,France,4039500,2544500,888,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3827a,France,3951500,2426500,1237,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3842a,France,3979500,2458500,820,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3843a,France,3991500,2458500,624,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3868a,France,4030500,2511500,1030,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3869a,France,4024500,2511500,1198,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3886a,France,4001500,2415500,1187,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3902a,France,4023500,2564500,730,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3931a,France,3977500,2404500,1289,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3983a,France,4016500,2510500,1191,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3984a,France,4014500,2510500,1223,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
3986a,France,3957500,2446500,612,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4023a,France,3942500,2435500,1092,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4024a,France,4003500,2435500,1456,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4068a,France,4065500,2584500,966,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4080a,France,3953500,2424500,1336,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4095a,France,4050500,2573500,999,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4096a,France,4030500,2509500,757,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4098a,France,3987500,2445500,816,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4099a,France,4003500,2445500,1115,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4125a,France,4057500,2562500,1039,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4128a,France,3958500,2434500,1158,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4170a,France,4031500,2519500,913,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4186a,France,4001500,2423500,1546,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4188a,France,3941500,2423500,1045,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4201a,France,3989500,2444500,1089,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4204a,France,3973500,2444500,1355,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4232a,France,3944500,2433500,1084,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4233a,France,3948500,2433500,1285,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4234a,France,3940500,2433500,1087,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4235a,France,3942500,2433500,1349,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4279a,France,4061500,2582500,1220,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4282a,France,3976500,2454500,1462,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4307a,France,4064500,2571500,1012,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4310a,France,4010500,2507500,673,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4311a,France,3949500,2443500,531,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4344a,France,4063500,2560500,1217,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4396a,France,4007500,2517500,1106,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4397a,France,4023500,2517500,1479,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4443a,France,3951500,2442500,1084,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4491a,France,3946500,2431500,1270,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4512a,France,4074500,2591500,484,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4534a,France,4048500,2570000,1268,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4576a,France,4039500,2516500,812,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4631a,France,3943500,2441500,1034,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4632a,France,3969500,2441500,1537,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4688a,France,4020500,2526500,826,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4691a,France,4011500,2398500,1288,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4744a,France,3960500,2451500,1122,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4745a,France,3962500,2451500,607,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4801a,France,3951500,2440500,1219,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4823a,France,3974500,2472500,832,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4922a,France,3991500,2418500,1627,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
4953a,France,3949500,2439500,831,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5005a,France,3993500,2460500,976,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5050a,France,4030500,2513500,1403,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5330a,France,4043500,2522500,629,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5380a,France,4044500,2511500,924,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5438a,France,3954500,2436500,1438,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5501a,France,3963500,2457500,1318,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5671a,France,4066000,2584500,1265,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5673a,France,4039500,2520500,840,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5714a,France,3983500,2445500,750,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5715a,France,4002500,2445500,1689,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5740a,France,3964500,2413500,925,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5760a,France,3950500,2434500,1466,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5789a,France,4020500,2530500,693,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5942a,France,3946500,2433500,865,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
5943a,France,3982500,2433500,1145,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6047a,France,3943500,2443500,879,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6080a,France,3958500,2432500,1170,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6146a,France,4027500,2517500,1482,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6186a,France,4028500,2485500,529,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6258a,Austria,4773500,2783500,514,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6259a,Austria,4555500,2740500,829,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6262a,Austria,4706500,2750500,901,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6268a,Austria,4632500,2749500,624,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6269a,Austria,4569500,2738500,839,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6270a,Austria,4620500,2759500,1256,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6271a,Austria,4609500,2759500,924,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6272a,Austria,4765500,2791500,659,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6273a,Austria,4770500,2791500,559,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6274a,Austria,4776500,2780500,447,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6276a,Austria,4771500,2769500,668,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6279a,Austria,4651500,2747500,1070,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6280a,Austria,4599500,2747500,850,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6282a,Austria,4594500,2736500,824,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6283a,Austria,4727500,2778500,896,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6285a,Austria,4560500,2746500,694,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6287a,Austria,4577500,2735500,1225,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6288a,Austria,4675500,2756500,694,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6289a,Austria,4762500,2788500,718,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6290a,Austria,4757500,2777500,647,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6291a,Austria,4717500,2745500,1199,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6292a,Austria,4555500,2745500,749,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6293a,Austria,4695500,2755500,1067,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6294a,Austria,4642500,2755500,1150,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6297a,Austria,4770500,2797500,543,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6298a,Austria,4615500,2754500,713,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6299a,Austria,4724500,2775500,820,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6300a,Austria,4765500,2796500,510,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6303a,Austria,4765500,2785500,488,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6304a,Austria,4662500,2742500,1002,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6307a,Austria,4323500,2688500,997,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6311a,Austria,4773500,2794500,507,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6312a,Austria,4717500,2687500,802,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6314a,Austria,4768500,2783500,618,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6315a,Austria,4526500,2719500,792,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6319a,Austria,4602500,2750500,674,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6320a,Austria,4601500,2750500,1195,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6324a,Austria,4759500,2791500,826,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6325a,Austria,4685500,2727500,1153,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6327a,Austria,4575500,2716500,1310,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6328a,Austria,4731500,2748500,959,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6332a,Austria,4674500,2737500,613,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6335a,Austria,4651500,2758500,1003,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6336a,Austria,4645500,2758500,582,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
6337a,Austria,4553500,2726500,923,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,PA05
